repo_path,source,source_tag,sha256,size,source_mtime,action,note
archive/superseded/aase-vllm-0.1.1/pretrained.zip,aase-vllm-0.1.1/pretrained.zip,vllm011,10d04e1e210d85472316fa9b325d42e578b31823cefa60cccd94250a6dca2291,413043,2026-01-08 12:39,archive,differs from aase 2 copy; aase 2 version is newer/larger
archive/superseded/aase-vllm-0.1.1/scripts/generate_roc_curves_vllm.py,aase-vllm-0.1.1/scripts/generate_roc_curves_vllm.py,vllm011,288df4e83bf5f3a10768c2d600a5242d624263910f95710b0701b6cf9f7cc6d1,11567,2026-01-03 23:45,archive,differs from aase 2 copy; aase 2 version is newer/larger
archive/superseded/aase_2/setup.py,aase 2/setup.py,aase2,2fb654c4e57594bea790dec94fe5654799c7613cf682a966e647450258dcdd29,1434,2026-01-04 00:18,archive,"version=0.1.0; superseded by aase-vllm-0.1.1/setup.py (version bump, later mtime)"
archive/superseded/loose/af_benchmark_category.py,af_benchmark_category.py,loose,50c9d2f4bbc207cbc215bdc3711b02859271e02fb335ed9ca4491c32cdbaed85,45778,2025-12-27 20:24,archive,differs from canonical runtime/af_benchmark_category.py
archive/superseded/loose/af_benchmark_category_v2.py,af_benchmark_category_v2.py,loose,007a1fd5fd865ef426c90098c705cd7623e6c30e07275d9a504fd5349724631d,79462,2025-12-27 23:44,archive,differs from canonical runtime/af_benchmark_category_v2.py
archive/superseded/loose/af_generate_gemma_vectors.py,af_generate_gemma_vectors.py,loose,14a80d18a56d2b317df21c77bf9d7b9d74830a65c34dbd281a870c083bba64aa,58920,2025-12-28 15:06,archive,differs from canonical runtime/af_distribution/af_generate_gemma_vectors.py
archive/superseded/loose/af_vllm_diagnostic.py,af_vllm_diagnostic.py,loose,28f9f346821abf3cc927def81577a2ce7483d40c942d447d6e1071a250ee866e,10049,2026-01-03 16:58,archive,earlier download variant
archive/superseded/loose/ahd_confidence_wrapper (1).py,ahd_confidence_wrapper (1).py,loose,e3a12c5a0db21ce966f63ef600df92c3fb07c921afa034f52221d7481d0d3e77,18983,2026-01-01 19:12,archive,earlier download variant
archive/superseded/loose/ahd_confidence_wrapper.py,ahd_confidence_wrapper.py,loose,ea902e9cbe7e06bff9c94172917d4d8f18abc61bae897d75256af3a7b2e99e49,18122,2026-01-01 19:10,archive,earlier download variant
archive/superseded/loose/ahd_layer_sweep_gemma9b.py,ahd_layer_sweep_gemma9b.py,loose,0de292579ee23ff7d3561d5d49037a153348e14a2e55072a7a3e31a32eb2edb2,18778,2026-01-01 18:22,archive,earlier download variant
archive/superseded/loose/ihe_core (1).py,ihe_core (1).py,loose,ffd905221fed79bc979c0e6f9d73db5dc1d619d1cc897e11927083574daf961a,64574,2025-12-29 13:59,archive,differs from canonical runtime/ihe/ihe_core.py
archive/superseded/loose/ihe_core (2).py,ihe_core (2).py,loose,a614395a46ac163ab0e8968f0211de9be06ae23fd7b04d8d2bee4cbd24915aca,65493,2025-12-29 14:07,archive,differs from canonical runtime/ihe/ihe_core.py
archive/superseded/loose/ihe_core.py,ihe_core.py,loose,2ffd5d1e740ab600aae09026b0e640a36a1078d9b4937c9edb0055a8e799e7a4,64492,2025-12-29 13:57,archive,differs from canonical runtime/ihe/ihe_core.py
archive/superseded/loose/ihe_train.py,ihe_train.py,loose,2288b10c6a3e373399ae94381d52e8f4f820969db7ad072531609f44e3c326bc,12941,2025-12-29 14:07,archive,differs from canonical runtime/ihe/ihe_train.py
archive/superseded/loose/package_release.py,package_release.py,loose,5b4d000446d767858e0f915fd80e379528f717df3df3acf08108552caa16f87c,22008,2026-01-03 20:14,archive,differs from canonical package/package_release.py
archive/superseded/loose/simpleqa_ahd_benchmark (1).py,simpleqa_ahd_benchmark (1).py,loose,53ee8d2d72cfa26c4d6d0b0aa1d327bdf87793f402d92a68c6e9412678aef661,25225,2025-12-31 16:36,archive,differs from canonical runtime/ahd/simpleqa_ahd_benchmark.py
archive/superseded/loose/simpleqa_ahd_benchmark (2).py,simpleqa_ahd_benchmark (2).py,loose,fad45c4c3fe0c8e28cda84b5ca956173181737669b9813755bd14a47c48b4ea7,29751,2025-12-31 17:04,archive,differs from canonical runtime/ahd/simpleqa_ahd_benchmark.py
archive/superseded/loose/simpleqa_ahd_benchmark.py,simpleqa_ahd_benchmark.py,loose,54f6390a757645393ddfb3e34057961020fb0de98fcc5535b0a2204f19a8c301,24727,2025-12-31 16:34,archive,differs from canonical runtime/ahd/simpleqa_ahd_benchmark.py
notebooks/aase_demo.ipynb,aase_demo.ipynb,loose,52861793860f33f8947b262a32961c3cccea98d3f0096601c9bcd09370ef5d4f,125609,2026-01-08 12:44,copy,loose script; only copy
notebooks/aase_demo_v2.ipynb,aase_demo_v2.ipynb,loose,c7178318e952ff67ddd31e175f016aad9ccd2c72739cffae6618359fc2ced6b6,112078,2026-01-08 13:13,copy,loose script; only copy
notebooks/aase_demo_v3.ipynb,aase_demo_v3.ipynb,loose,7208f02475999b0231416dc1a3d7af988ed2a48fd7503cb61de7275f3e881241,108805,2026-01-08 13:34,copy,loose script; only copy
package/aase/README.md,../../../private/tmp/build-501/-Users-glen-projects-aase/ff5d2db7-3a5d-4056-be5a-5fe720815188/scratchpad/zip15/aase/README.md,files15,fbe604c92cf02fd234d54f06380fd8fcab2480a82a5e6d46b75ebf8b8777ed25,6179,2026-01-03 19:02,copy,restored from files (15)/aase_complete.zip (structured layout)
package/aase/__init__.py,../../../private/tmp/build-501/-Users-glen-projects-aase/ff5d2db7-3a5d-4056-be5a-5fe720815188/scratchpad/zip15/aase/__init__.py,files15,2d144cce6d18311e220d34b42aa8f2b823021a16b736c9dd705cfc6b1165d5d9,1663,2026-01-03 19:02,copy,restored from files (15)/aase_complete.zip (structured layout)
package/aase/core/__init__.py,../../../private/tmp/build-501/-Users-glen-projects-aase/ff5d2db7-3a5d-4056-be5a-5fe720815188/scratchpad/zip15/aase/core/__init__.py,files15,74b33615d0aee64fa536ded33cee783991ebd72723bcc72320716073e22f921d,875,2026-01-03 19:02,copy,restored from files (15)/aase_complete.zip (structured layout)
package/aase/core/extraction.py,../../../private/tmp/build-501/-Users-glen-projects-aase/ff5d2db7-3a5d-4056-be5a-5fe720815188/scratchpad/zip15/aase/core/extraction.py,files15,922236292c023f32dad3664fbfbb077fb93ea072e8b4faee543a08a0204344b8,18061,2026-01-03 19:02,copy,restored from files (15)/aase_complete.zip (structured layout)
