source,source_tag,sha256,identical_to,note
AASE FOR PEERJ CS/figure4_roc_curves.pdf,aase-for-peerj-cs,7442cd67e256dcf0ec5269f389cdd343481508dd4d4589e319246ff49c0eb618,aase_vllm/roc_curves_vllm.pdf,figure bundle whose hashes match the includegraphics targets
activation_safety_paper_revised (1).tex,root,c20214e9a86e58879ba2aaaf56f6b0b5bd9db11deb022b3827efb7d501f9139e,paper-src/revisions/2026-01-23_2015__activation_safety_paper_revised.tex,"AASE-lineage tex, date-stamped from source mtime"
LATEST/activation_safety_paper v0.26.tex,LATEST,f94805215e5b126bd8142aaa7e5e36060ef4ac0923816768c94ae3a7b395c040,paper-src/revisions/2026-01-20_2210__activation_safety_paper.tex,"AASE-lineage tex, date-stamped from source mtime"
activation_safety_paper (7).tex,root,f94805215e5b126bd8142aaa7e5e36060ef4ac0923816768c94ae3a7b395c040,paper-src/revisions/2026-01-20_2210__activation_safety_paper.tex,"AASE-lineage tex, date-stamped from source mtime"
cognitive_depth_paper (1).tex,root,53bdb2820153820877e14510c541cfdb33082bd16bbb038926df96afb62884d1,paper-src/revisions/2026-01-01_1423__activation_safety_paper.tex,"AASE-lineage tex, date-stamped from source mtime"
figure4_roc_curves.pdf,figures,7442cd67e256dcf0ec5269f389cdd343481508dd4d4589e319246ff49c0eb618,aase_vllm/roc_curves_vllm.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
figure3_latency (1).pdf,figures,dfa8bf3e470813783de4403f10efabcbfc8ea31c3be910cfaa833eb8c532af15,paper-src/final/figure3_latency.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
aase_paper_bundle/figure1_layer_sweeps.pdf,figures,65d52c891a0173fa9c0bac6a43212a09b6c1696c7c5781997d3e3247c60dc203,paper-src/figures/2026-01-20_2206__figure1_layer_sweeps.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
aase_paper_bundle/figure2_ahd_scale.pdf,figures,002e71aa28ed941df693c2832910d7684e8bad40cd06ca581044ed798eee0fa8,paper-src/figures/2026-01-20_2206__figure2_ahd_scale.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
aase_paper_bundle/figure3_latency.pdf,figures,dfa8bf3e470813783de4403f10efabcbfc8ea31c3be910cfaa833eb8c532af15,paper-src/final/figure3_latency.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
aase_paper_bundle/figure4_roc_curves.pdf,figures,7442cd67e256dcf0ec5269f389cdd343481508dd4d4589e319246ff49c0eb618,aase_vllm/roc_curves_vllm.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
